Speaker,Gender,Profession,Personality,Age（少年、青年、中年、老年）
诺澜,女,电台主持人,外表温柔，内心带着野蛮与俏皮，外柔内刚，敢于追求自己的爱情。,青年
孙连城,男,汉东省京州市光明区区长,不想升迁，也不想贪腐，一心观测天文，自称“心怀宇宙”。,中年
欧阳懿,男,渔民,是一个思想前卫，时刻追赶时代潮流的知识分子,中年
林雨峰,男,董事长,只能接受成功，不能忍受失败，爱面子胜过爱生命,中年
刘表,男,镇南将军、荆州牧等,比较懦弱，虽然拥有强大的实力，可是却不想要去争夺天下 ,中年
赵云,男,将军,忠厚，守信，重感情，讲义气，志高胆雄，英勇顽强，有勇有谋，虚怀有容，宽厚大度,中年
张立宪,男,军人,对军事、政治都有自己年轻却不乏深度的见解,青年
魏渭,男,大老板,聪明绝顶，心思深沉难揣测，郁积了太多的沧桑和感悟。自负看透世情，对谁都怀着三分算计五分防备，让人敬佩之余难以亲近。,35岁 中年
张辽,男,征东将军、前将军,有勇有谋，本性忠诚专一，坚守节气忠义。. 常常身先士卒，英勇善战，坚毅不知疲倦。. 不争名斗利，严以律己宽以待人,中年
李若秋,男,老板,霸道总裁、自我、自信,中年
Lisa,女,电台主持人,女强人,青年
钱掌柜,男,万利当铺和钱庄的掌柜,爱贪小利（大利他也贪不着），怕事，尤其怕老婆，人品尚可,40~50岁
司务长,男,军人,公正，处事有原则,中年
王大路,男,汉东省大路集团董事长,坚持原则却不失手段的人,50（中老年）
赵瑞龙,男,副国级官员之子；京州黑社会组织老大,十分狂妄自大、贪得无厌，为人心狠手辣、奸险狡诈、不择手段。但他对亲人和朋友又非常重视,中年
朵朵,女,学生,聪明，懂事,少年
曹丕,男,皇帝,能文能武，擅长用兵,中年
黒藤规三,男,日军的特务机关长,对于中国的风土人情比较了解，而且能说一口流利的汉语。他十分喜欢中国成语和俗语，经常引经据典，但常常词不达意，总是露怯。,中年
田国富,男,汉东省委常委、纪委书记,不谄媚，不阿谀，大胆履行同级监督，没有原则,老年
许攸,男,谋士,才华过人，善于叛变，恃才傲物,中年
夏侯惇,男,济阴太守、大将军,好学、专师，虽然他位高权重，但生性俭朴，一生淡泊，有多余家财便会分及部下,中年
